#{"t_start": 1695760609.580446, "env_id": null}
r,l,t
8.039216,63,2014.347856
4.117647,37,2015.067102
7.254902,64,2016.292873
6.078432,60,2017.470818
6.862745,55,2018.574205
8.235294,55,2019.827007
5.686275,54,2021.077841
8.823529,66,2022.610865
7.450981,55,2023.883117
7.450981,51,2025.081933
7.058824,60,2026.475723
3.72549,38,2027.325908
6.666667,59,2028.678288
5.490196,51,2029.834334
7.647059,51,2030.982727
8.431373,64,2032.431484
9.803922,65,2063.748668
9.019608,62,2064.839856
8.627451,66,2066.023595
7.647059,58,2067.124583
9.215687,65,2068.378451
7.058824,56,2069.48684
9.607843,69,2070.976122
6.666667,53,2072.222934
8.039216,54,2073.468534
8.823529,59,2074.891172
8.431373,56,2076.294875
8.823529,61,2077.672647
8.431373,61,2079.038982
6.666667,55,2080.315972
7.058824,60,2081.663477
7.058824,52,2082.82
9.019608,60,2084.174894
8.627451,59,2114.978928
8.235294,63,2116.078155
8.235294,63,2117.229877
6.862745,60,2118.524911
7.843137,66,2119.969563
8.039216,64,2121.388407
7.843137,54,2122.577658
9.607843,64,2124.035802
9.411765,68,2125.56796
9.411765,63,2126.975263
9.411765,63,2128.401147
7.647059,63,2129.806597
8.039216,55,2131.148352
8.823529,71,2132.753068
5.882353,46,2133.769197
7.254902,60,2135.116895
9.411765,60,2166.102833
8.235294,55,2167.054678
8.823529,60,2168.096844
8.627451,65,2169.261115
9.411765,68,2170.58014
5.09804,47,2171.496419
7.647059,59,2172.760167
8.627451,58,2174.077513
8.431373,61,2175.461063
7.647059,53,2176.692143
5.882353,51,2177.831162
6.27451,58,2179.227098
9.019608,66,2180.704991
8.627451,59,2181.979903
7.647059,60,2183.309404
8.235294,56,2184.543569
8.431373,62,2185.976865
8.039216,53,2216.941156
8.823529,63,2218.04476
8.431373,70,2219.244234
9.215687,57,2220.245074
9.607843,62,2221.428603
7.843137,55,2222.49682
9.803922,65,2223.857661
9.803922,69,2225.427232
9.411765,62,2226.841354
7.647059,64,2228.320117
8.431373,65,2229.862388
9.215687,67,2231.441164
4.901961,48,2232.494702
9.019608,69,2234.013537
8.235294,56,2235.318955
8.627451,61,2236.709372
5.882353,55,2237.929264
7.254902,59,2268.709924
5.686275,48,2269.54604
7.450981,63,2270.690185
7.450981,52,2271.643237
8.235294,54,2272.668897
9.607843,62,2273.866907
7.058824,52,2275.028347
7.058824,52,2276.231282
8.235294,68,2277.812101
5.686275,53,2279.070898
8.235294,56,2280.365724
8.431373,59,2281.739667
7.647059,62,2283.201929
9.215687,69,2284.819836
9.803922,65,2286.269942
5.294118,50,2287.344423
8.823529,58,2288.631668
7.843137,55,2319.26108
9.803922,66,2320.42102
9.803922,65,2321.619429
6.27451,58,2322.694497
9.215687,67,2323.949039
7.450981,53,2325.037643
6.666667,58,2326.375496
9.215687,69,2327.941103
8.039216,59,2329.314523
6.470589,53,2330.550739
7.450981,59,2331.920779
7.843137,60,2333.377039
7.058824,59,2334.680362
8.627451,69,2336.292995
9.803922,62,2337.643354
6.862745,56,2338.893535
9.411765,59,2369.804512
7.647059,56,2370.754363
9.215687,68,2371.944351
8.627451,68,2373.190403
8.823529,60,2374.33433
7.254902,54,2375.410098
6.078432,44,2376.336574
7.058824,61,2377.719625
8.823529,65,2379.212093
9.019608,60,2380.662231
7.058824,62,2382.435205
3.72549,37,2383.359872
8.235294,54,2384.590946
8.039216,63,2386.068833
9.803922,64,2387.551992
6.27451,53,2388.720873
9.607843,61,2390.109321
9.215687,60,2391.477723
7.647059,56,2422.553628
9.411765,64,2423.668185
6.470589,57,2424.801084
9.019608,60,2426.105682
9.607843,60,2427.565426
5.686275,57,2428.908521
8.627451,59,2430.297943
8.431373,63,2431.7134
9.019608,68,2433.313198
8.823529,56,2434.583453
9.019608,60,2436.027552
9.019608,58,2437.314489
8.039216,66,2438.84305
8.235294,64,2440.274879
8.039216,58,2441.587267
9.411765,62,2442.988511
6.078432,58,2473.881613
8.823529,56,2474.845061
9.215687,61,2475.920835
7.647059,63,2477.051684
8.823529,63,2478.241172
7.254902,63,2479.483285
8.431373,56,2480.674409
8.235294,56,2481.980083
8.235294,65,2483.518382
6.862745,57,2484.81845
6.666667,61,2486.259173
6.862745,53,2487.495507
6.27451,49,2488.66153
8.823529,64,2490.135576
7.843137,54,2491.454602
8.431373,57,2492.726779
6.666667,54,2493.887721
9.215687,63,2524.938924
5.882353,48,2525.76791
8.235294,61,2526.865412
8.235294,61,2527.948923
9.607843,70,2529.262526
8.823529,67,2530.589228
8.235294,68,2531.970983
6.078432,51,2533.170903
7.843137,58,2534.510125
7.843137,64,2535.978919
8.431373,66,2537.480506
7.058824,49,2538.61343
6.27451,52,2539.781321
7.843137,53,2541.020539
7.647059,60,2542.320343
7.254902,54,2543.533265
8.235294,57,2544.790608
6.862745,52,2575.585222
7.843137,54,2576.505669
8.039216,57,2577.514487
7.254902,67,2578.715095
9.607843,70,2580.031635
9.607843,63,2581.242257
8.039216,56,2582.480312
8.431373,58,2583.80877
9.411765,60,2585.18049
7.647059,55,2586.420723
7.058824,57,2587.71023
5.882353,49,2588.870426
7.843137,65,2590.3566
9.607843,63,2591.882826
8.431373,57,2593.143222
7.843137,59,2594.452944
8.039216,58,2595.790721
9.019608,63,2626.780672
8.823529,62,2627.848248
7.450981,49,2628.709998
8.627451,67,2629.936496
8.431373,64,2631.12444
9.411765,61,2632.283235
9.019608,62,2633.586705
5.686275,45,2634.601152
9.019608,68,2636.141282
8.431373,59,2637.483362
9.019608,63,2638.946823
8.039216,61,2640.338037
7.450981,55,2641.657685
7.647059,51,2642.772931
7.254902,57,2644.123703
9.803922,65,2645.602885
8.431373,55,2646.886058
9.215687,62,2677.849996
7.647059,54,2678.788684
8.431373,57,2679.795193
9.411765,59,2680.843196
7.254902,55,2681.865112
9.411765,64,2683.095124
9.607843,70,2684.634395
9.215687,70,2686.207085
9.411765,70,2687.806502
9.019608,69,2689.463827
9.803922,70,2691.047388
7.647059,63,2692.447291
8.039216,55,2693.690051
7.647059,57,2695.003558
6.666667,50,2696.091103
7.058824,53,2697.29298
5.882353,49,2698.410243
6.470589,58,2729.189645
6.862745,54,2730.133306
4.509804,53,2731.059497
8.627451,65,2732.262551
9.019608,67,2733.540104
9.411765,65,2734.90846
6.27451,51,2736.080719
9.215687,70,2737.681123
6.078432,52,2738.878218
9.803922,65,2740.391006
9.411765,68,2741.917426
9.803922,61,2743.252157
8.823529,58,2744.557439
9.803922,70,2746.147516
7.450981,58,2747.451613
9.607843,61,2748.86504
9.411765,70,2780.147938
8.235294,58,2781.133028
9.019608,73,2782.425592
9.607843,70,2783.710798
8.823529,69,2785.037154
9.411765,69,2786.421858
7.058824,54,2787.663104
9.411765,70,2789.271035
7.254902,63,2790.710478
9.215687,61,2792.185107
8.431373,57,2793.444924
9.803922,70,2795.026236
9.019608,61,2796.453224
9.019608,60,2797.774918
9.215687,59,2799.177945
8.039216,66,2800.618064
7.058824,57,2831.254571
8.235294,68,2832.396787
7.450981,52,2833.349924
8.431373,60,2834.461552
8.039216,65,2835.716018
7.843137,63,2837.034728
6.862745,62,2838.447474
5.686275,51,2839.613602
8.431373,68,2841.18314
7.254902,55,2842.449986
7.058824,62,2843.852359
9.411765,60,2845.264853
5.490196,56,2846.506227
9.019608,60,2847.859822
9.803922,67,2849.406096
8.431373,60,2850.721695
7.647059,59,2881.710163
9.411765,58,2882.68305
7.450981,61,2883.764816
8.039216,57,2884.778962
8.627451,65,2885.981802
7.647059,51,2886.970361
7.843137,53,2888.132264
9.411765,70,2889.723034
8.627451,66,2891.251092
7.843137,57,2892.593331
5.686275,50,2893.708032
9.803922,65,2895.18606
9.215687,68,2896.724581
5.09804,55,2897.999211
7.450981,60,2899.385411
7.058824,56,2900.623224
8.823529,68,2902.168588
8.823529,58,2932.924556
7.450981,52,2933.842296
8.431373,57,2934.833606
